country, order_value_EUR , cost ,date,category,customer_name,sales_manager,sales_rep,device_type,order_id
Sweden,6/2/2201,92797.25,"Monday, June 29, 2020",Other,"Rowe, Hermiston and Kessler",Maxie Marrow,Anita Woakes,Tablet,50-2481520
UK,8/5/2323,126572.74,"Friday, October 23, 2020",Electronics,Smith Group,Jessamine Apark,Genevra Charrisson,PC,46-1054213
Sweden,4/14/2154,75936.7,"Sunday, April 5, 2020",Electronics,Wisoky Inc,Maxie Marrow,Madelon Bront,Mobile,40-9497268
France,1/30/2081,53435.42,"Sunday, May 26, 2019",Clothing,Stehr LLC,Othello Bowes,Ora Grennan,PC,54-5107115
Germany,12/21/2561,196544.91,"Tuesday, June 9, 2020",Appliances,Johns and Sons,Rickard Doogood,Casie MacBain,PC,15-7053450
Portugal,1/30/2480,177930.69,"Tuesday, July 23, 2019",Games,Johns and Sons,Celine Tumasian,Hortense Gerring,Mobile,36-2012010
Portugal,7/23/2366,143432.61,"Tuesday, November 3, 2020",Clothing,Romaguera-Haley,Celine Tumasian,Aurelie Wren,Mobile,61-7521706
Sweden,9/20/2331,130624.94,"Saturday, June 8, 2019",Electronics,Hegmann Group,Maxie Marrow,Alyosha Meah,Tablet,17-0893784
Portugal,1/9/2218,97166.07,"Thursday, November 14, 2019",Games,"Parisian, Steuber and Satterfield",Celine Tumasian,Hortense Gerring,PC,23-5766200
France,8/10/2053,45081.27,"Thursday, March 12, 2020",Electronics,"Rowe, Hermiston and Kessler",Othello Bowes,Amelina Piscopiello,PC,24-3140242
Sweden,7/26/2010,32591.06,"Wednesday, July 15, 2020",Smartphones,Armstrong-Little,Maxie Marrow,Tarrah Castelletti,PC,81-0573181
UK,12/27/2207,92254.34,"Thursday, October 24, 2019",Appliances,Hessel-Stiedemann,Jessamine Apark,Genevra Charrisson,Mobile,13-1936536
Finland,4/25/2449,172245.64,"Wednesday, December 11, 2019",Clothing,Larkin-Collier,Hube Corey,Wat Bowkley,PC,94-8026718
Portugal,10/15/2565,202250.24,"Friday, July 3, 2020",Appliances,Gislason-Stanton,Celine Tumasian,Hortense Gerring,PC,81-5976459
Portugal,12/27/2042,45124.19,"Thursday, March 14, 2019",Books,"Farrell, Swaniawski and Crist",Celine Tumasian,Corene Shirer,PC,28-6038070
Bulgaria,4/23/2304,129110.39,"Tuesday, October 15, 2019",Electronics,Homenick-Marvin,Charil Alpe,Bernadine Fullagar,PC,81-7970957
France,4/25/2309,125401.11,"Friday, July 24, 2020",Games,McGlynn-Bergstrom,Othello Bowes,Crysta Halls,PC,60-8646184
France,5/7/2045,44812.86,"Saturday, August 24, 2019",Beauty,Goldner-Dibbert,Othello Bowes,Crysta Halls,PC,32-2114915
France,4/30/2133,73002.08,"Sunday, September 15, 2019",Beauty,"Hamill, Kulas and Roob",Othello Bowes,Maighdiln Upcraft,PC,58-7865136
Denmark,5/22/2061,49416.54,"Wednesday, May 20, 2020",Clothing,Wisoky Inc,Modestia Byfford,Case Desorts,PC,98-9112505
Portugal,8/28/2353,132275.84,"Thursday, October 22, 2020",Electronics,Franecki-White,Celine Tumasian,Aurelie Wren,PC,03-0455038
Sweden,4/29/2387,145029.41,"Monday, December 2, 2019",Outdoors,Johns and Sons,Maxie Marrow,Alyosha Meah,Tablet,71-0122842
France,8/22/2197,90341.19,"Monday, March 9, 2020",Clothing,Hessel-Stiedemann,Othello Bowes,Amelina Piscopiello,PC,55-1395838
Finland,9/5/1970,21447.97,"Sunday, September 8, 2019",Clothing,Smith Group,Hube Corey,Mellicent Mattys,Mobile,95-7886861
Portugal,10/31/2321,121887.06,"Wednesday, September 30, 2020",Beauty,"Rowe, Hermiston and Kessler",Celine Tumasian,Smitty Culverhouse,PC,19-3013452
Finland,10/13/2433,154975.33,"Sunday, July 5, 2020",Appliances,"Rowe, Hermiston and Kessler",Hube Corey,Mellicent Mattys,PC,54-5082146
Portugal,4/22/2066,52805.48,"Thursday, March 19, 2020",Smartphones,Gislason-Stanton,Celine Tumasian,Brynn Dempster,PC,69-4462108
Sweden,8/19/2007,34273.41,"Saturday, October 10, 2020",Beauty,Corwin and Sons,Maxie Marrow,Anita Woakes,Mobile,68-3731565
France,1/20/2228,98289.02,"Sunday, June 16, 2019",Appliances,Considine-Fisher,Othello Bowes,Amelina Piscopiello,PC,82-2972108
UK,7/7/2254,112794.83,"Saturday, January 5, 2019",Appliances,McGlynn-Prosacco,Jessamine Apark,Jay Morefield,PC,15-2503493
Italy,10/31/2346,140893.7,"Friday, June 21, 2019",Smartphones,"Swaniawski, Runolfsson and Green",Piggy Roscrigg,Joshua Prevost,PC,37-0857161
France,11/26/2071,53049.61,"Thursday, February 13, 2020",Appliances,Altenwerth-Konopelski,Othello Bowes,Avrit Chanders,PC,71-2709641
Portugal,4/23/2305,117867.62,"Tuesday, April 14, 2020",Electronics,Romaguera-Dietrich,Celine Tumasian,Corene Shirer,PC,10-5899580
Ireland,1/21/2052,45620.29,"Saturday, March 21, 2020",Electronics,Altenwerth-Konopelski,Glenine Suttaby,Palm Wetherald,PC,10-9241948
France,1/20/2311,131067.85,"Wednesday, September 9, 2020",Smartphones,Larkin-Collier,Othello Bowes,Avrit Chanders,PC,68-0080728
Ireland,7/10/2133,72662.21,"Wednesday, March 25, 2020",Beauty,"Zieme, Bailey and Herzog",Glenine Suttaby,Bunnie Tonbridge,PC,47-0640313
Luxembourg,7/26/2272,119178.53,"Thursday, August 29, 2019",Games,West-Cummings,Ilsa Kob,Jocelyn Laurentino,PC,37-6597365
Finland,5/2/2410,161233.92,"Friday, December 4, 2020",Appliances,Friesen and Sons,Hube Corey,Mellicent Mattys,Mobile,13-0833129
Germany,7/6/1989,26375.35,"Saturday, November 28, 2020",Accessories,Johns and Sons,Rickard Doogood,Casie MacBain,Mobile,15-2994585
France,9/1/2135,72288.16,"Sunday, November 3, 2019",Appliances,Johns and Sons,Othello Bowes,Amelina Piscopiello,PC,85-7784608
Sweden,7/19/2099,59773.44,"Tuesday, December 29, 2020",Clothing,Johns and Sons,Maxie Marrow,Anita Woakes,PC,22-3969127
Portugal,1/26/2175,82566.04,"Friday, May 17, 2019",Electronics,Johns and Sons,Celine Tumasian,Aurelie Wren,PC,80-2242820
Sweden,10/15/2011,34192.31,"Friday, April 26, 2019",Appliances,Labadie and Sons,Maxie Marrow,Madelon Bront,PC,35-1705563
Italy,9/29/2289,116046.22,"Wednesday, July 24, 2019",Books,Dibbert Inc,Piggy Roscrigg,Joshua Prevost,PC,93-9941140
Sweden,5/2/2585,218825.43,"Monday, July 8, 2019",Beauty,McGlynn-Prosacco,Maxie Marrow,Alyosha Meah,PC,36-2366573
UK,1/16/2174,84690.35,"Sunday, November 8, 2020",Games,"Swaniawski, Runolfsson and Green",Jessamine Apark,Genevra Charrisson,PC,10-9932801
UK,3/2/2111,65536.3,"Sunday, August 9, 2020",Books,"Dickinson, Hyatt and Berge",Jessamine Apark,Jay Morefield,Mobile,70-8991739
France,3/7/2382,149257.23,"Tuesday, November 24, 2020",Electronics,Johns and Sons,Othello Bowes,Maighdiln Upcraft,PC,97-4830372
France,8/15/2300,118333.46,"Sunday, August 9, 2020",Games,Stehr-Bogan,Othello Bowes,Crysta Halls,PC,95-8015610
Germany,1/20/2343,130494.44,"Monday, July 20, 2020",Clothing,Friesen-Rath,Rickard Doogood,Casie MacBain,PC,84-1062113
Sweden,2/17/2263,112035.07,"Tuesday, April 23, 2019",Electronics,"Keeling, Monahan and Pollich",Maxie Marrow,Anita Woakes,PC,05-5082715
Portugal,8/2/2193,85207.33,"Sunday, March 8, 2020",Appliances,Hessel-Stiedemann,Celine Tumasian,Smitty Culverhouse,PC,35-6942653
Sweden,8/20/2230,96719.27,"Tuesday, April 14, 2020",Clothing,"Murray, Reichel and Nolan",Maxie Marrow,Anita Woakes,PC,79-6623911
Bulgaria,2/19/2663,221591.86,"Thursday, December 5, 2019",Appliances,West-Cummings,Charil Alpe,Bernadine Fullagar,PC,48-7662634
Bulgaria,3/31/2278,112926.83,"Thursday, February 14, 2019",Games,McGlynn-Bergstrom,Charil Alpe,Bernadine Fullagar,PC,46-5888587
Ireland,5/14/2088,54635.77,"Tuesday, September 15, 2020",Beauty,Kirlin and Sons,Glenine Suttaby,Bunnie Tonbridge,PC,17-3178991
Finland,7/8/1997,28192.66,"Tuesday, January 8, 2019",Electronics,"Murray, Reichel and Nolan",Hube Corey,Wat Bowkley,PC,18-8528486
UK,12/30/2077,53669.75,"Friday, March 27, 2020",Outdoors,"Dickinson, Hyatt and Berge",Jessamine Apark,Genevra Charrisson,Mobile,55-4588115
Germany,12/9/2033,39387.44,"Monday, October 19, 2020",Outdoors,"Murray, Reichel and Nolan",Rickard Doogood,Casie MacBain,Tablet,19-9073616
France,6/20/2352,142621.4,"Tuesday, May 19, 2020",Electronics,Altenwerth-Konopelski,Othello Bowes,Amelina Piscopiello,Mobile,96-0020600
Portugal,5/2/2349,133509.37,"Thursday, May 28, 2020",Electronics,"Zieme, Bailey and Herzog",Celine Tumasian,Corene Shirer,PC,88-7664123
Portugal,11/7/2551,193587.72,"Thursday, July 16, 2020",Clothing,"Rowe, Hermiston and Kessler",Celine Tumasian,Hortense Gerring,PC,17-8884817
Sweden,5/4/2222,97294.97,"Saturday, July 13, 2019",Electronics,Connelly-Mohr,Maxie Marrow,Tarrah Castelletti,PC,45-5509135
France,2/18/1973,22043.95,"Monday, October 12, 2020",Beauty,Wisoky Inc,Othello Bowes,Ora Grennan,PC,81-4176165
France,12/21/2035,39244.63,"Wednesday, October 30, 2019",Books,"Swaniawski, Runolfsson and Green",Othello Bowes,Amelina Piscopiello,PC,24-9702599
Sweden,10/25/2343,133912.4,"Thursday, December 19, 2019",Smartphones,"Rowe, Hermiston and Kessler",Maxie Marrow,Tarrah Castelletti,PC,24-4272786
France,2/22/2223,96050.67,"Saturday, April 6, 2019",Beauty,Johns and Sons,Othello Bowes,Ora Grennan,PC,77-3656041
Sweden,3/11/2305,129643.3,"Sunday, January 27, 2019",Games,Stamm Inc,Maxie Marrow,Alyosha Meah,PC,47-7207206
Finland,1/2/2034,38765.82,"Friday, April 19, 2019",Accessories,"Swaniawski, Runolfsson and Green",Hube Corey,Mellicent Mattys,PC,65-2022928
Sweden,3/21/2102,60336.7,"Friday, November 13, 2020",Clothing,McGlynn-Prosacco,Maxie Marrow,Madelon Bront,PC,16-5837761
Portugal,9/7/2135,72309.95,"Saturday, November 30, 2019",Electronics,Connelly-Mohr,Celine Tumasian,Hortense Gerring,PC,80-7090422
Finland,3/6/2098,60181.33,"Tuesday, September 10, 2019",Clothing,Johns and Sons,Hube Corey,Wat Bowkley,PC,66-8222460
Portugal,6/15/2229,102282.42,"Tuesday, January 14, 2020",Clothing,"Parisian, Steuber and Satterfield",Celine Tumasian,Hortense Gerring,Tablet,44-0527427
Sweden,6/26/2122,65326.8,"Friday, September 6, 2019",Books,Johns and Sons,Maxie Marrow,Anita Woakes,Mobile,75-9517276
Austria,10/8/2280,113708.2,"Wednesday, December 16, 2020",Games,"Murray, Reichel and Nolan",Orsa Geekin,Bank Coumbe,PC,24-2403756
France,4/21/2038,43918.78,"Friday, March 22, 2019",Electronics,Wiza and Sons,Othello Bowes,Maighdiln Upcraft,PC,50-1986322
Sweden,4/8/2207,97470.73,"Sunday, September 15, 2019",Outdoors,Gislason-Stanton,Maxie Marrow,Madelon Bront,PC,75-9585763
France,7/28/2118,63411.83,"Saturday, June 15, 2019",Appliances,McGlynn-Bergstrom,Othello Bowes,Avrit Chanders,PC,86-6760202
Finland,5/3/2271,118526.5,"Wednesday, August 12, 2020",Games,Tillman and Sons,Hube Corey,Mellicent Mattys,PC,66-7717800
Luxembourg,1/15/2380,144999.6,"Thursday, September 24, 2020",Accessories,Hegmann Group,Ilsa Kob,Jocelyn Laurentino,PC,89-8942175
Portugal,1/19/2179,86115.05,"Saturday, January 19, 2019",Beauty,"Shanahan, Schaden and Parker",Celine Tumasian,Brynn Dempster,Mobile,38-0584273
Germany,6/21/2420,160749.37,"Friday, December 20, 2019",Electronics,Walter LLC,Rickard Doogood,Casie MacBain,PC,38-8840357
Netherlands,4/9/2318,134423.99,"Saturday, May 2, 2020",Clothing,McClure Inc,Denice Amberg,Nero Harbisher,PC,82-4495901
France,7/27/2044,43791.97,"Monday, June 22, 2020",Smartphones,Kihn Inc,Othello Bowes,Amelina Piscopiello,PC,81-2373308
Portugal,10/7/2040,43338.75,"Wednesday, April 15, 2020",Smartphones,"Spencer, Rogahn and Muller",Celine Tumasian,Aurelie Wren,PC,15-0224516
Luxembourg,3/30/2109,66116.6,"Saturday, March 16, 2019",Clothing,O'Connell-Mitchell,Ilsa Kob,Jocelyn Laurentino,PC,95-6935153
France,2/16/2223,98229.37,"Sunday, April 21, 2019",Beauty,"Lubowitz, McLaughlin and Erdman",Othello Bowes,Maighdiln Upcraft,PC,60-8661261
Portugal,7/26/2062,52176.3,"Saturday, April 25, 2020",Appliances,Schoen-Keeling,Celine Tumasian,Corene Shirer,PC,56-2783503
Spain,11/24/2067,49379.09,"Wednesday, July 29, 2020",Beauty,Hessel-Stiedemann,Emalia Dinse,Manuel Goudie,Tablet,95-1516475
France,3/17/2120,69774.19,"Monday, July 22, 2019",Beauty,Hessel-Stiedemann,Othello Bowes,Crysta Halls,PC,32-5562588
Portugal,2/14/2387,147370.42,"Sunday, June 7, 2020",Beauty,Walter LLC,Celine Tumasian,Aurelie Wren,PC,70-7769332
Ireland,9/21/2002,32781.3,"Wednesday, May 27, 2020",Clothing,Kihn Inc,Glenine Suttaby,Bunnie Tonbridge,Mobile,07-6200800
Spain,3/18/2088,58014.63,"Tuesday, April 9, 2019",Electronics,Labadie and Sons,Emalia Dinse,Manuel Goudie,PC,11-2988171
Denmark,12/15/2088,55897.21,"Thursday, April 2, 2020",Electronics,Hegmann Group,Modestia Byfford,Case Desorts,PC,38-3894304
France,9/28/2033,39788.63,"Sunday, March 31, 2019",Appliances,"Spencer, Rogahn and Muller",Othello Bowes,Crysta Halls,PC,33-6126082
Netherlands,6/25/2593,219502.46,"Friday, June 12, 2020",Books,Altenwerth-Konopelski,Denice Amberg,Nero Harbisher,PC,25-4970452
Portugal,3/9/2029,38112.73,"Sunday, July 28, 2019",Electronics,"Hartmann, Hane and Pfannerstill",Celine Tumasian,Aurelie Wren,PC,34-8903845
Portugal,5/14/2063,51269.05,"Tuesday, September 10, 2019",Appliances,"Shanahan, Schaden and Parker",Celine Tumasian,Aurelie Wren,PC,32-2110689
Portugal,11/14/2526,183764.34,"Monday, June 1, 2020",Appliances,Johns and Sons,Celine Tumasian,Hortense Gerring,PC,37-8204282
France,6/17/2352,130703.8,"Friday, June 26, 2020",Outdoors,Armstrong-Little,Othello Bowes,Crysta Halls,PC,46-1318487
France,2/3/2502,179426.05,"Friday, July 5, 2019",Clothing,Smith Group,Othello Bowes,Crysta Halls,PC,99-3971751
Finland,12/29/2052,48561.56,"Wednesday, May 20, 2020",Clothing,"Murray, Reichel and Nolan",Hube Corey,Mellicent Mattys,PC,24-7985425
France,11/12/1944,13430.7,"Sunday, March 15, 2020",Electronics,West-Cummings,Othello Bowes,Crysta Halls,PC,30-9690927
Spain,4/4/2135,74490.44,"Monday, April 15, 2019",Clothing,"Hartmann, Hane and Pfannerstill",Emalia Dinse,Perri Aldersley,PC,37-5025811
France,5/19/2341,138046.17,"Saturday, July 4, 2020",Accessories,Hilll-Vandervort,Othello Bowes,Crysta Halls,PC,21-6670877
France,7/21/2082,53009.31,"Monday, March 4, 2019",Smartphones,Walter LLC,Othello Bowes,Amelina Piscopiello,PC,34-3119010
Sweden,11/15/2305,120566.07,"Monday, December 7, 2020",Beauty,Johns and Sons,Maxie Marrow,Madelon Bront,PC,54-7503816
Ireland,5/28/2246,106368.19,"Thursday, May 14, 2020",Games,Gleichner-Green,Glenine Suttaby,Bunnie Tonbridge,PC,96-1698894
Ireland,7/3/2073,55572.41,"Tuesday, March 3, 2020",Clothing,"Dickinson, Hyatt and Berge",Glenine Suttaby,Bunnie Tonbridge,PC,92-0523700
Ireland,3/6/2110,64500.28,"Wednesday, January 22, 2020",Games,"Spencer, Rogahn and Muller",Glenine Suttaby,Bunnie Tonbridge,PC,15-3657248
Portugal,2/14/2116,65471.86,"Wednesday, April 24, 2019",Games,"Fisher, Morar and Skiles",Celine Tumasian,Brynn Dempster,PC,16-3423161
France,1/10/2261,110277.9,"Tuesday, April 9, 2019",Appliances,"Murray, Reichel and Nolan",Othello Bowes,Ora Grennan,PC,67-2684209
Portugal,9/18/2219,98954.65,"Sunday, April 21, 2019",Accessories,Labadie and Sons,Celine Tumasian,Hortense Gerring,Mobile,21-7344983
France,5/7/2286,120044.69,"Saturday, August 8, 2020",Electronics,Gislason-Stanton,Othello Bowes,Avrit Chanders,Mobile,47-9701762
Bulgaria,12/3/1990,29109.06,"Friday, November 20, 2020",Books,Hessel-Stiedemann,Charil Alpe,Bernadine Fullagar,PC,86-3876359
France,6/19/2377,141449.62,"Monday, August 3, 2020",Smartphones,Labadie and Sons,Othello Bowes,Ora Grennan,PC,34-4313860
Sweden,11/8/2459,177308.61,"Sunday, June 16, 2019",Games,"Hermiston, Simonis and Wisoky",Maxie Marrow,Caro Morfield,Tablet,71-4782689
Germany,9/23/2121,64124.79,"Monday, December 2, 2019",Appliances,"Dickinson, Hyatt and Berge",Rickard Doogood,Casie MacBain,Mobile,85-3690127
Sweden,7/28/2390,154936.71,"Tuesday, October 22, 2019",Books,"Zieme, Bailey and Herzog",Maxie Marrow,Anita Woakes,PC,66-5810051
Netherlands,1/18/2173,84731.8,"Sunday, January 12, 2020",Electronics,Smith Group,Denice Amberg,Nero Harbisher,PC,81-9170157
France,6/2/1989,27922.42,"Saturday, February 8, 2020",Electronics,"Zieme, Bailey and Herzog",Othello Bowes,Amelina Piscopiello,PC,24-7300640
Sweden,8/3/1982,24658.45,"Friday, November 29, 2019",Appliances,Corwin and Sons,Maxie Marrow,Tarrah Castelletti,PC,97-1288901
Germany,8/9/2000,31900.28,"Saturday, January 19, 2019",Accessories,Johns and Sons,Rickard Doogood,Casie MacBain,PC,81-9757849
France,2/12/2083,58544.18,"Sunday, January 19, 2020",Smartphones,Wisoky Inc,Othello Bowes,Crysta Halls,PC,44-9179070
Portugal,8/2/2352,134757.21,"Saturday, July 13, 2019",Games,"Christiansen, Donnelly and Bechtelar",Celine Tumasian,Aurelie Wren,PC,55-2137809
Sweden,8/1/2038,41835.95,"Tuesday, March 5, 2019",Beauty,Hegmann Group,Maxie Marrow,Tarrah Castelletti,PC,56-1063618
Sweden,10/27/2124,70652.87,"Saturday, May 30, 2020",Beauty,"Zieme, Bailey and Herzog",Maxie Marrow,Caro Morfield,Tablet,01-8080546
Sweden,8/8/2190,88151.47,"Tuesday, June 4, 2019",Games,Baumbach Group,Maxie Marrow,Anita Woakes,PC,29-5632797
Portugal,5/9/2309,122646.33,"Sunday, October 18, 2020",Games,"Bashirian, Okuneva and Bechtelar",Celine Tumasian,Smitty Culverhouse,Mobile,20-1191256
Sweden,10/20/1984,27072.84,"Sunday, March 15, 2020",Clothing,McGlynn-Bergstrom,Maxie Marrow,Tarrah Castelletti,PC,33-4022317
France,1/28/2352,137527.4,"Saturday, November 2, 2019",Clothing,Smith Group,Othello Bowes,Amelina Piscopiello,PC,59-5892824
Germany,11/11/2109,64311.64,"Tuesday, August 4, 2020",Accessories,"Farrell, Swaniawski and Crist",Rickard Doogood,Casie MacBain,PC,52-3394023
UK,2/25/2315,120744.82,"Tuesday, July 14, 2020",Clothing,Armstrong-Little,Jessamine Apark,Winny Agnolo,PC,89-5350599
France,8/12/1996,29424.59,"Tuesday, February 26, 2019",Smartphones,Armstrong-Little,Othello Bowes,Maighdiln Upcraft,PC,92-6298656
France,12/7/2110,63245.29,"Saturday, February 8, 2020",Outdoors,Armstrong-Little,Othello Bowes,Avrit Chanders,PC,91-7317758
Portugal,6/4/2063,49239.69,"Monday, June 17, 2019",Other,Walter LLC,Celine Tumasian,Hortense Gerring,PC,60-6055725
Portugal,12/21/2397,149834.75,"Sunday, July 28, 2019",Books,McClure Inc,Celine Tumasian,Corene Shirer,PC,33-2816759
Portugal,1/26/2039,44090.96,"Saturday, September 21, 2019",Books,"Farrell, Swaniawski and Crist",Celine Tumasian,Hortense Gerring,PC,05-2359767
Netherlands,7/20/2102,61959.73,"Monday, November 18, 2019",Clothing,"Hamill, Kulas and Roob",Denice Amberg,Nero Harbisher,PC,73-9492768
UK,5/9/2189,86694.33,"Sunday, October 13, 2019",Outdoors,Johns and Sons,Jessamine Apark,Genevra Charrisson,PC,31-6770318
Sweden,12/22/2308,123653.67,"Friday, January 31, 2020",Other,"Fisher, Morar and Skiles",Maxie Marrow,Alyosha Meah,PC,52-0695511
Netherlands,5/14/2133,72384.03,"Wednesday, March 18, 2020",Smartphones,Armstrong-Little,Denice Amberg,Nero Harbisher,PC,45-8314773
Luxembourg,10/9/2186,83281.33,"Sunday, March 24, 2019",Electronics,Johns and Sons,Ilsa Kob,Jocelyn Laurentino,Mobile,53-0205940
Portugal,7/1/2695,239530.86,"Monday, December 14, 2020",Other,Hessel-Stiedemann,Celine Tumasian,Brynn Dempster,PC,53-1660551
France,12/25/2097,57309.42,"Tuesday, August 27, 2019",Appliances,Johns and Sons,Othello Bowes,Ora Grennan,PC,70-5394452
Netherlands,2/27/2228,99997.65,"Thursday, November 19, 2020",Electronics,McGlynn-Prosacco,Denice Amberg,Nero Harbisher,PC,10-0386535
Portugal,5/16/2228,98720.53,"Tuesday, August 13, 2019",Games,"Hartmann, Hane and Pfannerstill",Celine Tumasian,Aurelie Wren,PC,56-8476539
France,11/21/2065,52363.95,"Friday, February 22, 2019",Accessories,"Rowe, Hermiston and Kessler",Othello Bowes,Crysta Halls,PC,04-7976277
Ireland,7/8/1987,26593.2,"Monday, August 24, 2020",Appliances,Johns and Sons,Glenine Suttaby,Palm Wetherald,PC,21-2965409
Portugal,11/11/2127,71699.59,"Sunday, November 22, 2020",Beauty,"Swaniawski, Runolfsson and Green",Celine Tumasian,Corene Shirer,PC,04-2788693
Germany,9/28/2040,44292.53,"Thursday, May 2, 2019",Clothing,Altenwerth-Konopelski,Rickard Doogood,Casie MacBain,Tablet,20-6477396
Germany,8/28/2069,50690.04,"Sunday, December 27, 2020",Electronics,Romaguera-Dietrich,Rickard Doogood,Casie MacBain,PC,22-7259031
Ireland,3/30/2643,217959.37,"Wednesday, July 3, 2019",Electronics,Corwin and Sons,Glenine Suttaby,Bunnie Tonbridge,Mobile,44-9239029
Sweden,10/17/2137,72219.63,"Tuesday, February 4, 2020",Books,Tillman and Sons,Maxie Marrow,Tarrah Castelletti,PC,77-4566105
Ireland,1/19/2228,105441.05,"Monday, December 7, 2020",Smartphones,Dibbert Inc,Glenine Suttaby,Palm Wetherald,PC,29-3662564
UK,2/25/2340,131102.96,"Thursday, April 18, 2019",Appliances,McGlynn-Prosacco,Jessamine Apark,Genevra Charrisson,PC,73-8057834
Sweden,7/17/2020,38344.92,"Monday, September 9, 2019",Other,McGlynn-Bergstrom,Maxie Marrow,Alyosha Meah,PC,87-9980890
France,3/5/2137,72464.59,"Wednesday, November 6, 2019",Appliances,Kihn Inc,Othello Bowes,Crysta Halls,PC,98-8250897
Portugal,4/30/2167,83414.92,"Saturday, October 17, 2020",Books,Morissette Group,Celine Tumasian,Brynn Dempster,PC,98-3051699
Portugal,5/9/2170,80399.53,"Monday, February 10, 2020",Appliances,Considine-Fisher,Celine Tumasian,Smitty Culverhouse,PC,75-7291972
France,12/19/2199,89917.94,"Wednesday, August 5, 2020",Appliances,"Dickinson, Hyatt and Berge",Othello Bowes,Maighdiln Upcraft,PC,67-3672347
UK,2/3/2065,48820.47,"Friday, February 8, 2019",Beauty,Wiza and Sons,Jessamine Apark,Jay Morefield,PC,75-1785229
France,3/2/2121,68971.35,"Saturday, January 19, 2019",Smartphones,McGlynn-Prosacco,Othello Bowes,Ora Grennan,Mobile,53-1426071
France,6/3/2553,204507.25,"Monday, December 23, 2019",Appliances,Corwin and Sons,Othello Bowes,Amelina Piscopiello,Tablet,49-7167664
UK,6/24/2353,139114.11,"Tuesday, September 3, 2019",Appliances,Johns and Sons,Jessamine Apark,Jay Morefield,PC,07-7047482
Sweden,11/3/2246,106514.89,"Tuesday, June 11, 2019",Smartphones,"Murray, Reichel and Nolan",Maxie Marrow,Madelon Bront,PC,57-1931933
Sweden,7/9/2298,116257.18,"Friday, December 20, 2019",Clothing,Konopelski LLC,Maxie Marrow,Tarrah Castelletti,Tablet,15-5167065
Spain,12/23/2061,50419.38,"Monday, March 11, 2019",Smartphones,McClure Inc,Emalia Dinse,Perri Aldersley,Mobile,98-9382686
Sweden,4/7/2284,122303.44,"Sunday, December 1, 2019",Smartphones,Hilll-Vandervort,Maxie Marrow,Caro Morfield,PC,47-5733147
France,5/17/2347,139413.93,"Monday, April 22, 2019",Clothing,Wisoky Inc,Othello Bowes,Avrit Chanders,PC,98-2104934
Sweden,12/24/2386,140675.25,"Saturday, October 3, 2020",Smartphones,Walter LLC,Maxie Marrow,Anita Woakes,PC,30-6005742
Germany,12/7/2059,46745.13,"Thursday, February 7, 2019",Clothing,Morissette Group,Rickard Doogood,Casie MacBain,PC,21-7461655
Germany,3/11/2364,137568.77,"Sunday, April 12, 2020",Appliances,"Keeling, Monahan and Pollich",Rickard Doogood,Casie MacBain,Mobile,96-7625873
Luxembourg,8/9/2104,64098.31,"Monday, February 24, 2020",Beauty,McClure Inc,Ilsa Kob,Jocelyn Laurentino,PC,53-2132479
Portugal,1/13/2051,47443.43,"Monday, April 13, 2020",Books,Gislason-Stanton,Celine Tumasian,Hortense Gerring,PC,70-4650708
France,12/3/2171,79127.71,"Tuesday, May 26, 2020",Games,Hessel-Stiedemann,Othello Bowes,Amelina Piscopiello,PC,53-3037652
Sweden,10/4/2225,95506.96,"Wednesday, January 15, 2020",Clothing,Stehr-Bogan,Maxie Marrow,Caro Morfield,Mobile,76-0774122
Ireland,11/13/2329,126940.58,"Saturday, August 31, 2019",Beauty,Friesen-Rath,Glenine Suttaby,Bunnie Tonbridge,PC,72-3928347
France,3/6/2035,39208.09,"Tuesday, May 21, 2019",Books,Stehr LLC,Othello Bowes,Ora Grennan,PC,87-1399932
Portugal,3/14/2239,104118.5,"Tuesday, July 23, 2019",Games,Hegmann Group,Celine Tumasian,Smitty Culverhouse,PC,25-1045028
France,8/6/2541,204438.49,"Sunday, December 13, 2020",Clothing,Hessel-Stiedemann,Othello Bowes,Avrit Chanders,PC,70-0364033
Netherlands,9/2/2161,75504.84,"Wednesday, December 23, 2020",Books,Hessel-Stiedemann,Denice Amberg,Nero Harbisher,PC,35-9372764
Finland,1/1/2243,99372.32,"Friday, October 18, 2019",Beauty,Romaguera-Dietrich,Hube Corey,Wat Bowkley,PC,36-1142710
Portugal,1/11/2249,108614.9,"Wednesday, August 26, 2020",Beauty,Hilll-Vandervort,Celine Tumasian,Aurelie Wren,PC,75-6291395
Portugal,10/14/2229,97218.04,"Monday, February 11, 2019",Beauty,"Schowalter, Lesch and Beahan",Celine Tumasian,Brynn Dempster,PC,00-3338378
Portugal,12/17/2228,97527.65,"Sunday, September 29, 2019",Outdoors,Romaguera-Dietrich,Celine Tumasian,Smitty Culverhouse,PC,55-1904761
Portugal,3/21/2161,80593.65,"Tuesday, September 22, 2020",Books,"Murray, Reichel and Nolan",Celine Tumasian,Hortense Gerring,Mobile,70-9736399
France,8/25/2252,105709.86,"Friday, September 13, 2019",Appliances,Connelly-Mohr,Othello Bowes,Amelina Piscopiello,Tablet,20-3125420
Italy,8/23/1973,23198.53,"Tuesday, March 19, 2019",Games,Hessel-Stiedemann,Piggy Roscrigg,Joshua Prevost,PC,57-2968987
